task,max_minute,label,n
jungle,8.0,ambiguous,62675
jungle,8.0,farm_oriented,36644
jungle,8.0,map_presence,31193
support,8.0,ambiguous,46699
support,8.0,lane_anchored,43461
support,8.0,roamer,40379
team,8.0,ambiguous,71206
team,8.0,botside_oriented,28402
team,8.0,topside_oriented,30934
