metric,q,value
jungle_presence_score,0.01,0.0
jungle_presence_score,0.05,0.0
jungle_presence_score,0.1,0.0
jungle_presence_score,0.25,0.2
jungle_presence_score,0.33,0.2
jungle_presence_score,0.5,0.4
jungle_presence_score,0.66,0.4
jungle_presence_score,0.75,0.4
jungle_presence_score,0.9,0.6
jungle_presence_score,0.95,0.6
jungle_presence_score,0.99,0.8
