task,score_col,n,mean,std,min,q25,median,q75,max
jungle,jungle_presence_score,16277,0.37157270313257285,0.14563943904752072,0.0,0.25,0.375,0.4444444444444444,1.0
support,support_roam_score,16277,0.27048032173255065,0.17572360112546484,0.0,0.13333333333333333,0.24912663755458514,0.38390153520381154,1.0
team,team_side_focus_score,16277,-0.4337040531424043,0.168696003216408,-1.0,-0.5555555555555556,-0.4444444444444444,-0.3333333333333333,0.5
