group,labeling_mode,label_schema,strategy,lower,upper,split_threshold
blue,by_side,ternary,quantile,0.3333333333333333,0.5454545454545454,0.43939393939393934
red,by_side,ternary,quantile,0.3076923076923077,0.5454545454545454,0.42657342657342656
