champion_name,count,mean,median,std,q25,q75
AurelionSol,127,0.5575803842139162,0.5551691729323307,0.22868531891266486,0.39556622580958867,0.7333333333333334
Nunu,44,0.5146009743746727,0.529545658514696,0.1786483323918663,0.34875,0.6657889546351083
Twitch,103,0.5116098774955901,0.5022166499498495,0.22820938322425852,0.33380952380952383,0.679769810189355
Shaco,1272,0.4296738195257561,0.4207132372113991,0.21063088655293563,0.27556034972956006,0.5812693182924454
Elise,4612,0.42874441149259557,0.422370135157927,0.18707487658699878,0.2934794779095732,0.5549999999999999
Akshan,34,0.41806139295006073,0.41691531079318456,0.1391123317119761,0.36202403488607937,0.49955357142857143
Jax,191,0.41676502798364723,0.40246347316302666,0.21680963632418562,0.2309183120895644,0.5750952674599329
Leblanc,713,0.4079038722436439,0.4041862899005756,0.17900504101908626,0.27545479009687834,0.5285714285714285
Briar,33,0.4042921501745014,0.415,0.14137110731254268,0.31666666666666665,0.5095238095238095
Rammus,97,0.39816653205439817,0.38095238095238093,0.19795485455136255,0.2555025445292621,0.56
Camille,444,0.3964528472590164,0.375,0.17677268402480695,0.26943968726396167,0.5121964279465913
Singed,103,0.3848416009950787,0.36002307901167524,0.19387337196001855,0.22589383879933228,0.5255261582389241
Sylas,1161,0.3815211814788591,0.36770496820484916,0.17882326725210101,0.247856766719326,0.49125799573560763
Pyke,10195,0.3801004795192627,0.3717799188640974,0.17336641705937234,0.2567634775366242,0.4927021500100731
Bard,19960,0.37817691528096503,0.3704296803860619,0.16906744486593567,0.2565940322188364,0.4889625291080709
XinZhao,67,0.37547807327356175,0.33820617231033,0.18613016106297336,0.23642804723340854,0.5425289661319074
Vi,43,0.3733969005213551,0.33999999999999997,0.16245065126913602,0.25640029419288823,0.5020367329562732
Poppy,3025,0.37072802756120016,0.3672364437104322,0.17341799765681168,0.24601554907677356,0.4830014309563558
MasterYi,25,0.36969066787046684,0.31666666666666665,0.23543652714960747,0.1861725394896719,0.5085269709543568
Pantheon,3430,0.36924315174254096,0.35746466174551095,0.18125457036561135,0.2345290619760072,0.4894399339496306
Qiyana,122,0.36654628275402823,0.36584208277818603,0.17411509573282566,0.2512167983606026,0.463488303565593
Fiora,53,0.3500532328299184,0.32363677950594694,0.18246532148601471,0.2087085025077621,0.43547031667027336
Nidalee,866,0.3498857172489537,0.33168769354243516,0.1926368796905234,0.20477248767064543,0.47759671835014295
Quinn,39,0.34958643693453473,0.34380258899676375,0.1391808679657402,0.25963956603742727,0.432377984907656
TwistedFate,151,0.3490273782178591,0.3374063962558502,0.18289931129430667,0.20160527040878473,0.46939886906228895
Kennen,54,0.3456662657830726,0.3122083345089298,0.17748431262621128,0.23056980201246902,0.4495087124878993
Ekko,136,0.34139982280870546,0.31360144439296345,0.1681082455782897,0.22697262394522538,0.44477991869397093
LeeSin,101,0.33600006314801634,0.30254338610919895,0.20825054599087306,0.15869989588755856,0.4766772926087924
Alistar,12711,0.33454252245724975,0.321807487840742,0.17097378990543854,0.20573837390611505,0.4452380952380952
Vayne,21,0.32976196031220273,0.3142771099146937,0.1542750558231499,0.24715475854278451,0.36428571428571427
RekSai,80,0.3295756804184884,0.2925453795379538,0.18439632318955232,0.20954167703606602,0.4140641280666856
Skarner,115,0.3262087565598237,0.3342857142857143,0.16035406481428097,0.21580935778250038,0.4084840123218285
