case_id,case_group,case_rank,score_band,match_id,team_id,side,patch,prediction,actual,signed_error,abs_error,ally_top_champion_name,ally_jungle_champion_name,ally_middle_champion_name,ally_bottom_champion_name,ally_utility_champion_name,enemy_top_champion_name,enemy_jungle_champion_name,enemy_middle_champion_name,enemy_bottom_champion_name,enemy_utility_champion_name,ally_support_expert_score,ally_support_expert_archetype,ally_support_expert_confidence,enemy_support_expert_score,enemy_support_expert_archetype,enemy_support_expert_confidence,ally_support_champion_mean_score,ally_support_champion_n,enemy_support_champion_mean_score,enemy_support_champion_n,valid_support_frames_v5,valid_coop_frames_v5,outside_ratio_v5,far_ratio_v5,xp_gap_v5,support_score_confidence_v5,score_reconstructed_delta,raw_score_reconstructed_delta,support_early_kills,support_early_deaths,support_early_assists,adc_early_kills,adc_early_deaths,adc_early_assists,bot_related_events_0_12,support_final_kda,adc_final_kda,evidence_tag,raw_missing
top_error_11_EUW1_7830110048_100,top_error,11,very_high,EUW1_7830110048,100,blue,16.8,0.3197948722722933,0.9768110531297455,-0.6570161808574522,0.6570161808574522,Sion,Naafiri,Azir,Yasuo,Nami,Zaahen,Gwen,Kassadin,Smolder,Soraka,0.38,lane_enchanter,0.75,0.2,adc_enabler,0.85,0.34617523496966535,35437,0.322337698829907,7211,6,6.0,1.0,1.0,0.8460076045627376,1.0,0.0,0.0,0,2,2,1,5,0,12,4/5/11,5/12/1,chaotic_early_game,False
top_error_12_EUW1_7806861902_200,top_error,12,very_high,EUW1_7806861902,200,red,16.7,0.347330692420286,0.9981423621611766,-0.6508116697408906,0.6508116697408906,Vayne,Aatrox,Vladimir,Yunara,Sona,Shen,Ekko,Ryze,Corki,Camille,0.22,scaling_enchanter,0.8,,,,0.3335971472202456,11424,0.5114559364273342,574,6,3.0,1.0,1.0,0.9876195835678108,1.0,0.0,0.0,1,5,3,0,1,2,16,6/11/26,7/9/14,chaotic_early_game,False
top_error_13_EUW1_7708834871_200,top_error,13,very_high,EUW1_7708834871,200,red,16.2,0.13051137584992503,0.7771988451075833,-0.6466874692576583,0.6466874692576583,Warwick,Ekko,Naafiri,Tristana,Yuumi,Vladimir,Khazix,Ambessa,Lucian,Milio,0.08,adc_enabler,0.95,0.24,adc_enabler,0.8,0.14909535543748414,4689,0.2924578179495655,7935,7,4.0,0.5714285714285714,0.75,0.974619943313579,1.0,0.0,0.0,1,1,3,0,4,0,14,1/6/8,0/10/1,chaotic_early_game,False
top_error_14_EUW1_7705296763_200,top_error,14,very_high,EUW1_7705296763,200,red,16.2,0.3453058627302333,0.9915179091201616,-0.6462120463899284,0.6462120463899284,Irelia,DrMundo,Sylas,Vayne,Braum,Aatrox,JarvanIV,Orianna,Varus,Karma,0.48,protective_warden,0.75,0.42,lane_enchanter,0.7,0.3591134453520027,14668,0.3872413347731952,27136,6,5.0,1.0,1.0,0.9435328185328185,1.0,0.0,0.0,1,3,3,0,3,0,13,2/10/14,4/7/1,chaotic_early_game,False
top_error_15_EUW1_7831144335_200,top_error,15,very_high,EUW1_7831144335,200,red,16.8,0.2692621684144822,0.9127383717638704,-0.6434762033493882,0.6434762033493882,Malphite,Khazix,Viktor,Lucian,Taric,Jax,Diana,Qiyana,Zeri,Yuumi,0.3,protective_warden,0.75,0.08,adc_enabler,0.95,0.3223018566844765,4608,0.14909535543748414,4689,6,5.0,0.8333333333333334,1.0,0.8018867924528302,1.0,0.0,0.0,1,1,8,2,1,1,11,2/2/12,4/2/1,clean_roam_like_candidate,False
top_error_16_EUW1_7719808217_100,top_error,16,very_high,EUW1_7719808217,100,blue,16.3,0.35795485328220755,1.0,-0.6420451467177924,0.6420451467177924,Zaahen,Kayn,Ambessa,Veigar,Senna,Urgot,Khazix,Kassadin,Xerath,Blitzcrank,0.4,marksman_support,0.7,0.78,pick_roamer,0.85,0.3087440928364943,10154,0.4348205857701826,8649,6,6.0,1.0,1.0,1.0,1.0,0.0,0.0,3,4,2,0,2,0,17,5/13/9,6/9/4,chaotic_early_game,False
top_error_17_EUW1_7765827606_200,top_error,17,very_high,EUW1_7765827606,200,red,16.5,0.36162374269431097,1.0,-0.638376257305689,0.638376257305689,Akali,DrMundo,Akshan,Lucian,Ivern,Aatrox,FiddleSticks,Kennen,Jhin,Senna,,,,0.4,marksman_support,0.7,0.3913544429505531,364,0.3087440928364943,10154,7,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0,5,2,0,2,0,16,0/6/19,5/7/3,chaotic_early_game,False
top_error_18_EUW1_7804333236_200,top_error,18,very_high,EUW1_7804333236,200,red,16.6,0.3595156948080167,0.9962160990675013,-0.6367004042594846,0.6367004042594846,Kennen,Qiyana,Ahri,Varus,Braum,Pantheon,Karthus,Ekko,Aphelios,Nautilus,0.48,protective_warden,0.75,0.84,engage_roamer,0.9,0.3591134453520027,14668,0.4161522916633062,28879,5,5.0,1.0,1.0,0.9747899159663864,0.8333333333333334,0.0,0.0,1,2,1,0,3,0,8,1/2/2,0/3/0,chaotic_early_game,False
top_error_19_EUW1_7803978812_100,top_error,19,very_high,EUW1_7803978812,100,blue,16.6,0.21883766918329767,0.8554299529687013,-0.6365922837854037,0.6365922837854037,Irelia,Gwen,Akali,Corki,Yuumi,Vayne,Nunu,Orianna,Zed,Sona,0.08,adc_enabler,0.95,0.22,scaling_enchanter,0.8,0.14909535543748414,4689,0.3335971472202456,11424,5,3.0,0.8,1.0,0.5102172788411796,0.8333333333333334,0.0,0.0,0,2,3,0,6,2,16,0/7/4,0/11/3,chaotic_early_game,False
top_error_20_EUW1_7831462570_200,top_error,20,very_high,EUW1_7831462570,200,red,16.8,0.28872445246826645,0.9224911599947503,-0.6337667075264839,0.6337667075264839,DrMundo,Sejuani,Lissandra,Ashe,Zyra,Darius,Sylas,Vex,Jinx,Thresh,0.34,lane_mage,0.75,0.72,pick_roamer,0.85,0.30587259064348576,1605,0.37826721529802937,19852,4,4.0,1.0,1.0,0.49006838163464683,0.6666666666666666,0.0,0.0,2,3,6,0,8,3,22,7/5/15,0/12/12,chaotic_early_game,False
