case_id,case_group,case_rank,match_id,team_id,minute,event_type,killer,victim,assists,killer_relation,victim_relation,assist_relations,monster_type,building_type,lane_type,ally_support_involved,ally_adc_involved,ally_support_died,ally_adc_died,ally_support_assist,ally_adc_assist,x,y
top_error_01_EUW1_7831489390_200,top_error,1,EUW1_7831489390,200,1.3617,CHAMPION_KILL,"Velkoz(BOTTOM,T100,pid4)","Yuumi(UTILITY,T200,pid10)","Pyke(UTILITY,T100,pid5)",enemy_bottom,ally_support,enemy_utility,,,,True,False,True,False,False,False,11828,2970
top_error_01_EUW1_7831489390_200,top_error,1,EUW1_7831489390,200,1.3928666666666667,CHAMPION_KILL,"Smolder(BOTTOM,T200,pid9)","Pyke(UTILITY,T100,pid5)","Yuumi(UTILITY,T200,pid10)",ally_adc,enemy_utility,ally_support,,,,True,True,False,False,True,False,11771,2537
top_error_01_EUW1_7831489390_200,top_error,1,EUW1_7831489390,200,1.4841666666666666,CHAMPION_KILL,"Velkoz(BOTTOM,T100,pid4)","Smolder(BOTTOM,T200,pid9)","Pyke(UTILITY,T100,pid5)",enemy_bottom,ally_adc,enemy_utility,,,,False,True,False,True,False,False,11694,3533
top_error_01_EUW1_7831489390_200,top_error,1,EUW1_7831489390,200,2.2477666666666667,CHAMPION_KILL,"Talon(JUNGLE,T200,pid7)","Azir(MIDDLE,T100,pid3)","KogMaw(MIDDLE,T200,pid8)",ally_jungle,enemy_middle,ally_middle,,,,False,False,False,False,False,False,7229,6503
top_error_01_EUW1_7831489390_200,top_error,1,EUW1_7831489390,200,3.0292333333333334,CHAMPION_KILL,"Shaco(JUNGLE,T100,pid2)","Smolder(BOTTOM,T200,pid9)","Velkoz(BOTTOM,T100,pid4); Pyke(UTILITY,T100,pid5)",enemy_jungle,ally_adc,enemy_bottom; enemy_utility,,,,False,True,False,True,False,False,13529,4595
top_error_01_EUW1_7831489390_200,top_error,1,EUW1_7831489390,200,3.8714666666666666,CHAMPION_KILL,"Velkoz(BOTTOM,T100,pid4)","Smolder(BOTTOM,T200,pid9)","Shaco(JUNGLE,T100,pid2); Pyke(UTILITY,T100,pid5)",enemy_bottom,ally_adc,enemy_jungle; enemy_utility,,,,False,True,False,True,False,False,11862,4642
top_error_01_EUW1_7831489390_200,top_error,1,EUW1_7831489390,200,3.9906,CHAMPION_KILL,"Velkoz(BOTTOM,T100,pid4)","Yuumi(UTILITY,T200,pid10)","Pyke(UTILITY,T100,pid5)",enemy_bottom,ally_support,enemy_utility,,,,True,False,True,False,False,False,12811,4224
top_error_01_EUW1_7831489390_200,top_error,1,EUW1_7831489390,200,4.2396666666666665,CHAMPION_KILL,"Jayce(TOP,T100,pid1)","Sion(TOP,T200,pid6)","Shaco(JUNGLE,T100,pid2)",enemy_top,ally_top,enemy_jungle,,,,False,False,False,False,False,False,4602,13722
top_error_01_EUW1_7831489390_200,top_error,1,EUW1_7831489390,200,4.657416666666666,CHAMPION_KILL,"Yuumi(UTILITY,T200,pid10)","Shaco(JUNGLE,T100,pid2)","Sion(TOP,T200,pid6); Talon(JUNGLE,T200,pid7)",ally_support,enemy_jungle,ally_top; ally_jungle,,,,True,False,False,False,False,False,5192,12918
top_error_01_EUW1_7831489390_200,top_error,1,EUW1_7831489390,200,5.189133333333333,TURRET_PLATE_DESTROYED,,,,,,,,,MID_LANE,False,False,False,False,False,False,8955,8510
