case_id,case_group,case_rank,match_id,team_id,side,patch,frame_idx,minute,support_champion_name,adc_champion_name,support_alive,adc_alive,support_x,support_y,adc_x,adc_y,support_zone_v5_abs,adc_zone_v5_abs,dist_to_adc,valid_support_frame_v5,valid_coop_frame_v5,out_bot_context_v5,far_from_adc_v5,support_xp,adc_xp,xp_ratio_frame
bottom_error_03_EUW1_7737055177_200,bottom_error,3,EUW1_7737055177,200,red,16.3,11,11.0047,Yuumi,Vayne,True,True,12831.0,2914.0,12831.0,2914.0,BOT_LANE_CORE,BOT_LANE_CORE,0.0,True,True,False,False,3244.0,3372.0,0.9620403321470937
bottom_error_04_EUW1_7753025529_100,bottom_error,4,EUW1_7753025529,100,blue,16.4,5,5.002233333333334,Senna,Nilah,False,True,13387.0,1431.0,10438.0,1602.0,BOT_LANE_CORE,BOT_LANE_CORE,2953.9536218431053,False,False,False,False,1388.0,1452.0,0.9559228650137741
bottom_error_04_EUW1_7753025529_100,bottom_error,4,EUW1_7753025529,100,blue,16.4,6,6.00275,Senna,Nilah,True,True,12905.0,2651.0,13328.0,3114.0,BOT_LANE_CORE,BOT_LANE_CORE,627.1347542594016,True,True,False,False,1872.0,2062.0,0.9078564500484966
bottom_error_04_EUW1_7753025529_100,bottom_error,4,EUW1_7753025529,100,blue,16.4,7,7.003166666666667,Senna,Nilah,True,True,11971.0,2171.0,12273.0,1814.0,BOT_LANE_CORE,BOT_LANE_CORE,467.60346448673795,True,True,False,False,1984.0,2268.0,0.8747795414462081
bottom_error_04_EUW1_7753025529_100,bottom_error,4,EUW1_7753025529,100,blue,16.4,8,8.003633333333333,Senna,Nilah,True,True,9553.0,3519.0,9007.0,4189.0,BOT_SIDE_NEAR,BOT_SIDE_NEAR,864.3008735388389,True,True,False,False,2382.0,2667.0,0.8931383577052868
bottom_error_04_EUW1_7753025529_100,bottom_error,4,EUW1_7753025529,100,blue,16.4,9,9.004066666666667,Senna,Nilah,True,True,9318.0,1307.0,10919.0,1498.0,BOT_LANE_CORE,BOT_LANE_CORE,1612.3529390304097,True,True,False,False,2700.0,3116.0,0.8664955070603337
bottom_error_04_EUW1_7753025529_100,bottom_error,4,EUW1_7753025529,100,blue,16.4,10,10.004416666666666,Senna,Nilah,True,True,10304.0,837.0,11286.0,1115.0,BOT_LANE_CORE,BOT_LANE_CORE,1020.5919850753287,True,True,False,False,3056.0,3598.0,0.849360755975542
bottom_error_04_EUW1_7753025529_100,bottom_error,4,EUW1_7753025529,100,blue,16.4,11,11.004783333333334,Senna,Nilah,True,True,7638.0,7865.0,11970.0,1525.0,MID_LANE,BOT_LANE_CORE,7678.660299817931,True,True,True,True,3509.0,3660.0,0.9587431693989071
bottom_error_05_EUW1_7740461495_100,bottom_error,5,EUW1_7740461495,100,blue,16.3,5,5.002583333333333,Yuumi,Ezreal,True,True,2051.0,673.0,2051.0,673.0,BLUE_BASE,BLUE_BASE,0.0,False,False,False,False,1145.0,1765.0,0.6487252124645893
bottom_error_05_EUW1_7740461495_100,bottom_error,5,EUW1_7740461495,100,blue,16.3,6,6.002783333333333,Yuumi,Ezreal,True,True,12504.0,2391.0,12504.0,2391.0,BOT_LANE_CORE,BOT_LANE_CORE,0.0,True,True,False,False,1427.0,2047.0,0.6971177332681974
bottom_error_05_EUW1_7740461495_100,bottom_error,5,EUW1_7740461495,100,blue,16.3,7,7.002866666666667,Yuumi,Ezreal,True,True,12005.0,1665.0,12005.0,1665.0,BOT_LANE_CORE,BOT_LANE_CORE,0.0,True,True,False,False,1798.0,2418.0,0.7435897435897436
bottom_error_05_EUW1_7740461495_100,bottom_error,5,EUW1_7740461495,100,blue,16.3,8,8.003116666666667,Yuumi,Ezreal,True,True,398.0,488.0,1242.0,535.0,BLUE_BASE,BLUE_BASE,845.3076363076345,False,False,False,False,2060.0,2680.0,0.7686567164179104
bottom_error_05_EUW1_7740461495_100,bottom_error,5,EUW1_7740461495,100,blue,16.3,9,9.003683333333333,Yuumi,Ezreal,True,True,11583.0,1887.0,11583.0,1887.0,BOT_LANE_CORE,BOT_LANE_CORE,0.0,True,True,False,False,2476.0,3091.0,0.8010352636687156
bottom_error_05_EUW1_7740461495_100,bottom_error,5,EUW1_7740461495,100,blue,16.3,10,10.004016666666667,Yuumi,Ezreal,True,True,11178.0,1937.0,11178.0,1937.0,BOT_LANE_CORE,BOT_LANE_CORE,0.0,True,True,False,False,2887.0,3503.0,0.8241507279474736
bottom_error_05_EUW1_7740461495_100,bottom_error,5,EUW1_7740461495,100,blue,16.3,11,11.00445,Yuumi,Ezreal,True,True,11092.0,2093.0,11092.0,2093.0,BOT_SIDE_NEAR,BOT_SIDE_NEAR,0.0,True,True,False,False,3276.0,3866.0,0.8473874806001035
bottom_error_06_EUW1_7717169345_200,bottom_error,6,EUW1_7717169345,200,red,16.3,5,5.0014,Lulu,Varus,True,True,13091.0,3232.0,12908.0,3083.0,BOT_LANE_CORE,BOT_LANE_CORE,235.9872877932199,True,True,False,False,1017.0,1673.0,0.6078900179318589
bottom_error_06_EUW1_7717169345_200,bottom_error,6,EUW1_7717169345,200,red,16.3,6,6.0016,Lulu,Varus,True,True,12552.0,2827.0,13409.0,4124.0,BOT_LANE_CORE,BOT_LANE_CORE,1554.5603880197127,True,True,False,False,1428.0,2084.0,0.6852207293666027
bottom_error_06_EUW1_7717169345_200,bottom_error,6,EUW1_7717169345,200,red,16.3,7,7.003216666666667,Lulu,Varus,True,True,13878.0,6144.0,13586.0,5624.0,BOT_LANE_CORE,BOT_LANE_CORE,596.3757204984121,True,True,False,False,1932.0,2402.0,0.8043297252289758
bottom_error_06_EUW1_7717169345_200,bottom_error,6,EUW1_7717169345,200,red,16.3,8,8.0033,Lulu,Varus,True,True,13162.0,4451.0,13461.0,3613.0,BOT_LANE_CORE,BOT_LANE_CORE,889.7443453037507,True,True,False,False,2430.0,2581.0,0.9414955443626501
bottom_error_06_EUW1_7717169345_200,bottom_error,6,EUW1_7717169345,200,red,16.3,9,9.003816666666667,Lulu,Varus,True,True,12718.0,3033.0,13095.0,2587.0,BOT_LANE_CORE,BOT_LANE_CORE,583.990582115842,True,True,False,False,2524.0,3184.0,0.792713567839196
bottom_error_06_EUW1_7717169345_200,bottom_error,6,EUW1_7717169345,200,red,16.3,10,10.003816666666667,Lulu,Varus,True,True,11090.0,10692.0,13998.0,9404.0,RED_BOT_JUNGLE,BOT_LANE_CORE,3180.4729208091057,True,True,True,True,2838.0,3513.0,0.8078565328778822
bottom_error_06_EUW1_7717169345_200,bottom_error,6,EUW1_7717169345,200,red,16.3,11,11.00385,Lulu,Varus,True,True,12220.0,2810.0,12612.0,2397.0,BOT_LANE_CORE,BOT_LANE_CORE,569.414611684667,True,True,False,False,3060.0,3952.0,0.7742914979757085
bottom_error_07_EUW1_7711409386_100,bottom_error,7,EUW1_7711409386,100,blue,16.2,5,5.0005,Senna,Lucian,True,True,11553.0,1724.0,11990.0,1773.0,BOT_LANE_CORE,BOT_LANE_CORE,439.7385586914115,True,True,False,False,622.0,1442.0,0.43134535367545074
bottom_error_07_EUW1_7711409386_100,bottom_error,7,EUW1_7711409386,100,blue,16.2,6,6.000933333333333,Senna,Lucian,True,True,3371.0,701.0,3369.0,707.0,BLUE_BASE,BLUE_BASE,6.324555320336759,False,False,False,False,1117.0,1869.0,0.5976457998929909
bottom_error_07_EUW1_7711409386_100,bottom_error,7,EUW1_7711409386,100,blue,16.2,7,7.003,Senna,Lucian,True,True,10785.0,1309.0,13623.0,3229.0,BOT_LANE_CORE,BOT_LANE_CORE,3426.462315566888,True,True,False,True,1408.0,2160.0,0.6518518518518519
bottom_error_07_EUW1_7711409386_100,bottom_error,7,EUW1_7711409386,100,blue,16.2,8,8.0034,Senna,Lucian,True,False,9999.0,2362.0,11834.0,1530.0,BOT_SIDE_NEAR,BOT_LANE_CORE,2014.8074349674216,True,False,False,False,1468.0,2449.0,0.5994283380971825
bottom_error_07_EUW1_7711409386_100,bottom_error,7,EUW1_7711409386,100,blue,16.2,9,9.00385,Senna,Lucian,True,True,9183.0,5704.0,10155.0,5972.0,BOT_SIDE_NEAR,BOT_SIDE_NEAR,1008.2698051612971,True,True,False,False,2010.0,2720.0,0.7389705882352942
bottom_error_07_EUW1_7711409386_100,bottom_error,7,EUW1_7711409386,100,blue,16.2,10,10.004266666666666,Senna,Lucian,True,True,13231.0,3271.0,13238.0,3459.0,BOT_LANE_CORE,BOT_LANE_CORE,188.1302740124513,True,True,False,False,2285.0,2995.0,0.7629382303839732
bottom_error_07_EUW1_7711409386_100,bottom_error,7,EUW1_7711409386,100,blue,16.2,11,11.004716666666667,Senna,Lucian,True,True,11621.0,1557.0,11764.0,2071.0,BOT_LANE_CORE,BOT_LANE_CORE,533.5213210360014,True,True,False,False,2487.0,3196.0,0.7781602002503129
bottom_error_08_EUW1_7822907738_100,bottom_error,8,EUW1_7822907738,100,blue,16.8,5,5.001266666666667,Sona,Velkoz,True,True,11044.0,1576.0,10982.0,1861.0,BOT_LANE_CORE,BOT_LANE_CORE,291.66590476090965,True,True,False,False,1545.0,1483.0,1.0418071476736346
bottom_error_08_EUW1_7822907738_100,bottom_error,8,EUW1_7822907738,100,blue,16.8,6,6.001766666666667,Sona,Velkoz,True,True,10022.0,3297.0,12225.0,2178.0,BOT_SIDE_NEAR,BOT_LANE_CORE,2470.9046926176657,True,True,False,False,1545.0,2054.0,0.752190847127556
bottom_error_08_EUW1_7822907738_100,bottom_error,8,EUW1_7822907738,100,blue,16.8,7,7.00325,Sona,Velkoz,True,True,11176.0,1585.0,11889.0,1688.0,BOT_LANE_CORE,BOT_LANE_CORE,720.4012770671634,True,True,False,False,1585.0,2869.0,0.5524573021958871
