task,score_col,n,mean,std,min,q25,median,q75,max
jungle,jungle_presence_score,16281,0.3795494894720986,0.1686823268220027,0.0,0.2857142857142857,0.4,0.5,1.0
support,support_roam_score,16281,0.2845790155629846,0.1832045190964027,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,1.0
team,team_side_focus_score,16281,-0.47896151118859104,0.1725219400038967,-1.0,-0.5714285714285714,-0.5,-0.38461538461538464,0.5384615384615384
