metric,n,mean,std,min,p25,median,p75,max,dataset
jungle_presence_score,16283,0.371563949742111,0.14563581752400762,0.0,0.25,0.375,0.4444444444444444,1.0,jungle_scores
support_roam_score,16284,0.34329069239257154,0.16842985311402126,0.0,0.2,0.3333333333333333,0.4444444444444444,1.0,support_scores
support_roam_score_v2,16278,0.2704969814170901,0.17572566023612737,0.0,0.13333333333333333,0.24915671385944055,0.38395332497742346,1.0,support_scores
mean_distance_to_adc_v2,16277,2218.064100891996,1545.4937062505064,0.0,1011.1041132472523,1901.926639541673,3038.6413445653575,12902.43218953991,support_scores
support_adc_xp_ratio_v2,16278,0.7866782868773649,0.1474014160744069,0.3009966777408638,0.6858954760407818,0.7858468200847355,0.886655879975811,1.5524752475247525,support_scores
support_score_confidence_v2,16278,0.8672441331858951,0.13404943329011748,0.3333333333333333,0.8333333333333334,0.8333333333333334,1.0,1.0,support_scores
team_side_focus_score,16284,-0.4336506785408873,0.1687052075829735,-1.0,-0.5555555555555556,-0.4444444444444444,-0.3333333333333333,0.5,team_scores
