
  Training GBT (raw, with sample_weight)...
C:\Users\adria\Desktop\TFG\.venv\lib\site-packages\joblib\externals\loky\backend\context.py:136: UserWarning: Could not find the number of physical cores for the following reason:
[WinError 2] El sistema no puede encontrar el archivo especificado
Returning the number of logical cores instead. You can silence this warning by setting LOKY_MAX_CPU_COUNT to the number of cores you want to use.
  warnings.warn(
  File "C:\Users\adria\Desktop\TFG\.venv\lib\site-packages\joblib\externals\loky\backend\context.py", line 257, in _count_physical_cores
    cpu_info = subprocess.run(
  File "C:\Users\adria\AppData\Local\Programs\Python\Python38\lib\subprocess.py", line 493, in run
    with Popen(*popenargs, **kwargs) as process:
  File "C:\Users\adria\AppData\Local\Programs\Python\Python38\lib\subprocess.py", line 858, in __init__
    self._execute_child(args, executable, preexec_fn, close_fds,
  File "C:\Users\adria\AppData\Local\Programs\Python\Python38\lib\subprocess.py", line 1311, in _execute_child
    hp, ht, pid, tid = _winapi.CreateProcess(executable, args,
Binning 0.021 GB of training data: 0.031 s
Binning 0.002 GB of validation data: 0.003 s
Fitting gradient boosted rounds:
[1/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01743, val loss: 0.01743, in 0.017s
[2/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01719, val loss: 0.01720, in 0.025s
[3/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01698, val loss: 0.01699, in 0.020s
[4/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01678, val loss: 0.01679, in 0.017s
[5/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01661, val loss: 0.01662, in 0.023s
[6/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01645, val loss: 0.01646, in 0.016s
[7/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01630, val loss: 0.01631, in 0.018s
[8/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01617, val loss: 0.01618, in 0.017s
[9/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01604, val loss: 0.01606, in 0.022s
[10/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01593, val loss: 0.01595, in 0.023s
[11/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01583, val loss: 0.01585, in 0.018s
[12/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01574, val loss: 0.01575, in 0.018s
[13/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01565, val loss: 0.01567, in 0.017s
[14/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01557, val loss: 0.01559, in 0.017s
[15/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01549, val loss: 0.01552, in 0.021s
[16/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01543, val loss: 0.01546, in 0.022s
[17/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01536, val loss: 0.01540, in 0.030s
[18/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01531, val loss: 0.01535, in 0.022s
[19/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01525, val loss: 0.01530, in 0.015s
[20/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01520, val loss: 0.01525, in 0.017s
[21/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01515, val loss: 0.01521, in 0.018s
[22/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01511, val loss: 0.01517, in 0.022s
[23/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01507, val loss: 0.01513, in 0.017s
[24/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01503, val loss: 0.01510, in 0.020s
[25/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01499, val loss: 0.01507, in 0.021s
[26/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01496, val loss: 0.01505, in 0.017s
[27/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01493, val loss: 0.01502, in 0.018s
[28/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01490, val loss: 0.01500, in 0.019s
[29/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01487, val loss: 0.01497, in 0.020s
[30/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01484, val loss: 0.01495, in 0.020s
[31/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01482, val loss: 0.01493, in 0.020s
[32/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01479, val loss: 0.01492, in 0.020s
[33/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01477, val loss: 0.01490, in 0.018s
[34/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01475, val loss: 0.01488, in 0.015s
[35/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01473, val loss: 0.01487, in 0.018s
[36/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01471, val loss: 0.01486, in 0.017s
[37/300] 1 tree, 31 leaves, max depth = 6, train loss: 0.01469, val loss: 0.01484, in 0.019s
