table,left_rows,right_rows,left_unique_keys,right_unique_keys,overlap_keys,left_only_keys,right_only_keys
jungle,29550,29549,29550,29549,29549,1,0
support,29550,29550,29550,29550,29550,0,0
team,29550,29550,29550,29550,29550,0,0
