metric,q,value
support_roam_score,0.01,0.0
support_roam_score,0.05,0.1
support_roam_score,0.1,0.1111111111111111
support_roam_score,0.25,0.2
support_roam_score,0.33,0.3
support_roam_score,0.5,0.3333333333333333
support_roam_score,0.66,0.4
support_roam_score,0.75,0.4444444444444444
support_roam_score,0.9,0.6
support_roam_score,0.95,0.6
support_roam_score,0.99,0.7777777777777778
