config_id,support_champion_name,count,mean,median,std
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Aatrox,2,0.13732408524326495,0.13732408524326495,0.1942055837915043
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Ahri,1,0.08598265895953755,0.08598265895953755,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Akshan,1,0.0,0.0,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Alistar,609,0.24822262218473168,0.2,0.19021744639091367
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Amumu,30,0.1840868772599835,0.14975081149764022,0.15805029231952283
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Anivia,44,0.2135374163596273,0.175,0.16478739211431118
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Annie,7,0.38901427509650116,0.32335255354200987,0.37111018531755635
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Ashe,43,0.16922376126193012,0.0659737912336195,0.2067190125816221
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,AurelionSol,12,0.4080366220814766,0.39085683024824225,0.25912830778402685
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Bard,935,0.2806515619220166,0.2568975345589283,0.18313088029325936
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Blitzcrank,359,0.23701320572404475,0.1986240913811007,0.1928680563137766
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Brand,62,0.24979527655972414,0.17931464044036824,0.21429387115621099
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Braum,910,0.16377368147567886,0.12893935891508707,0.1459843192848959
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Briar,1,0.06926751592356688,0.06926751592356688,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Camille,13,0.37901377591493135,0.36322060826146163,0.1764272782821753
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Chogath,2,0.14572203672787976,0.14572203672787976,0.08233839396955205
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,DrMundo,2,0.27541013206768467,0.27541013206768467,0.059505579431362796
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Ekko,3,0.37856826556367923,0.30201100762066047,0.14140010491860194
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Elise,210,0.35631966952224736,0.36942825533977686,0.20706843421265259
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,FiddleSticks,51,0.13820089842106728,0.08656873032528856,0.16444190653136162
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Fiora,6,0.2458723470690782,0.20427720107650904,0.18390530715522121
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Fizz,2,0.4666666666666667,0.4666666666666667,0.3771236166328254
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Galio,35,0.25664848100467597,0.25858468677494195,0.17474957472056032
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Garen,1,0.55,0.55,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Gragas,7,0.21026564889224386,0.09451040253279061,0.22883735264081517
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Heimerdinger,9,0.08998471314416435,0.03941120607787274,0.10023025433985536
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Hwei,9,0.06071050772690545,0.04682779456193353,0.041458446529821454
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Illaoi,1,0.2274838012958963,0.2274838012958963,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Ivern,39,0.20813431389998835,0.1921760554001864,0.1534801386925914
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Janna,667,0.2073964065570727,0.1729005693371289,0.17499137082564778
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,JarvanIV,34,0.20621231094037082,0.2019455252918288,0.14807325653751457
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Jax,6,0.4085261684263956,0.35079569958959056,0.17184255424153028
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,KSante,10,0.21786000675502398,0.24016060704926387,0.11201626715629928
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Karma,1014,0.20554120355832056,0.1733430007712869,0.16913396657538735
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Karthus,4,0.06874676967207072,0.058600519930675915,0.08109263105012893
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Kayle,1,0.4555482166446499,0.4555482166446499,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Kennen,2,0.34428645657791257,0.34428645657791257,0.2752093990449749
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Khazix,1,0.42500000000000004,0.42500000000000004,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Leblanc,30,0.3112606377339414,0.27953561666000826,0.21358693410740984
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,LeeSin,3,0.23375771430247552,0.02530459231490161,0.38317476221342467
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Leona,523,0.21614492874370733,0.17664172901080633,0.18261376386917932
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Lissandra,9,0.15525973758677775,0.18305084745762712,0.10404349798496407
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Lulu,1007,0.15355306853204384,0.11666666666666665,0.1444662049015733
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Lux,112,0.16837915584710936,0.13870981533000287,0.14675119706792603
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Malphite,2,0.1213518922852984,0.1213518922852984,0.15247311615432632
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Maokai,65,0.26288852468768775,0.19353920280332892,0.20405398308527278
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Mel,22,0.19600319862738633,0.1477703651685393,0.1511400989594675
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Milio,395,0.11607488598352679,0.09057765151515149,0.11284923394059856
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Morgana,108,0.2006564938519251,0.15911208880518649,0.18131244770869298
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Naafiri,1,0.21353393789502606,0.21353393789502606,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Nami,1282,0.15253005607581674,0.12053499656056696,0.1372528983313711
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Nautilus,1193,0.2142492894487013,0.18668503213957754,0.16191800613098642
