model_name,accuracy,balanced_accuracy,f1,roc_auc,n_test
jungle_only_logreg,0.5666198319930645,0.5571591923014385,0.6354515050167224,0.583990673033958,33451
random_forest_jungle_only,0.5641385907745657,0.5549529796612982,0.6319297182671918,0.5810892157070857,33451
jungle_mid_support_logreg,0.5622552390063077,0.5531010857087424,0.6301432143669016,0.5800814163507355,33451
full_draft_logreg,0.5612089324683865,0.5525112961092591,0.6268937468225725,0.5775286066748571,33451
random_forest_full_draft,0.5526591133299453,0.5432066374601644,0.6233955806110636,0.5647889701255462,33451
majority_baseline,0.5305670981435533,0.5,0.693294790913885,0.5,33451
