error_rank,match_id,team_id,side,patch,game_version,ally_utility_champion_name,ally_bottom_champion_name,enemy_utility_champion_name,enemy_bottom_champion_name,prediction,actual,signed_error,abs_error,prediction_bin,actual_bin,qualitative_note,ally_top_champion_name,ally_jungle_champion_name,ally_middle_champion_name,enemy_top_champion_name,enemy_jungle_champion_name,enemy_middle_champion_name,support_champion_name,game_start_timestamp,platform_id,queue_id,game_duration_seconds,ally_top_participant_id,ally_top_champion_id,ally_top_summoner1_id,ally_top_summoner2_id,ally_top_keystone_id,ally_top_primary_style_id,ally_top_sub_style_id,ally_jungle_participant_id,ally_jungle_champion_id,ally_jungle_summoner1_id,ally_jungle_summoner2_id,ally_jungle_keystone_id,ally_jungle_primary_style_id,ally_jungle_sub_style_id,ally_middle_participant_id,ally_middle_champion_id,ally_middle_summoner1_id,ally_middle_summoner2_id,ally_middle_keystone_id,ally_middle_primary_style_id,ally_middle_sub_style_id,ally_bottom_participant_id,ally_bottom_champion_id,ally_bottom_summoner1_id,ally_bottom_summoner2_id,ally_bottom_keystone_id,ally_bottom_primary_style_id,ally_bottom_sub_style_id,ally_utility_participant_id,ally_utility_champion_id,ally_utility_summoner1_id,ally_utility_summoner2_id,ally_utility_keystone_id,ally_utility_primary_style_id,ally_utility_sub_style_id,enemy_top_participant_id,enemy_top_champion_id,enemy_top_summoner1_id,enemy_top_summoner2_id,enemy_top_keystone_id,enemy_top_primary_style_id,enemy_top_sub_style_id,enemy_jungle_participant_id,enemy_jungle_champion_id,enemy_jungle_summoner1_id,enemy_jungle_summoner2_id,enemy_jungle_keystone_id,enemy_jungle_primary_style_id,enemy_jungle_sub_style_id,enemy_middle_participant_id,enemy_middle_champion_id,enemy_middle_summoner1_id,enemy_middle_summoner2_id,enemy_middle_keystone_id,enemy_middle_primary_style_id,enemy_middle_sub_style_id,enemy_bottom_participant_id,enemy_bottom_champion_id,enemy_bottom_summoner1_id,enemy_bottom_summoner2_id,enemy_bottom_keystone_id,enemy_bottom_primary_style_id,enemy_bottom_sub_style_id,enemy_utility_participant_id,enemy_utility_champion_id,enemy_utility_summoner1_id,enemy_utility_summoner2_id,enemy_utility_keystone_id,enemy_utility_primary_style_id,enemy_utility_sub_style_id,ally_ban_1_champion_id,enemy_ban_1_champion_id,ally_ban_2_champion_id,enemy_ban_2_champion_id,ally_ban_3_champion_id,enemy_ban_3_champion_id,ally_ban_4_champion_id,enemy_ban_4_champion_id,ally_ban_5_champion_id,enemy_ban_5_champion_id,support_roam_score,raw_support_roam_score_v5_geometry,support_roam_score_quantile
11,EUW1_7830110048,100,blue,16.8,16.8.766.8562,Nami,Yasuo,Soraka,Smolder,0.3197948722722933,0.9768110531297455,-0.6570161808574522,0.6570161808574522,low_mid,very_high,,Sion,Naafiri,Azir,Zaahen,Gwen,Kassadin,Nami,1776950730829,EUW1,420,1839.0,1,14,12,4,8437,8400,8300,2,950,4,11,8010,8000,8300,3,268,12,4,8008,8000,8200,4,157,3,4,8008,8000,8400,5,267,4,14,8214,8200,8400,6,904,12,4,8010,8000,8400,7,887,6,11,8010,8000,8300,8,38,4,12,8112,8100,8000,9,901,3,4,8021,8000,8300,10,16,4,7,8214,8200,8400,134.0,,119.0,103.0,8.0,54.0,163.0,107.0,58.0,200.0,0.9768110531297455,0.9692015209125475,0.998941864096627
12,EUW1_7806861902,200,red,16.7,16.7.758.4427,Sona,Yunara,Camille,Corki,0.347330692420286,0.9981423621611766,-0.6508116697408906,0.6508116697408906,low_mid,very_high,,Vayne,Aatrox,Vladimir,Shen,Ekko,Ryze,Sona,1775075547295,EUW1,420,2094.0,6,67,4,6,8005,8000,8200,7,266,4,11,8010,8000,8300,8,8,4,14,8214,8200,8000,9,804,4,21,8008,8000,8300,10,37,4,7,8214,8200,8300,1,98,12,4,8437,8400,8100,2,245,11,4,8128,8100,8300,3,13,4,6,8230,8200,8000,4,42,4,21,8010,8000,8300,5,164,4,14,9923,8100,8400,119.0,517.0,81.0,110.0,111.0,267.0,61.0,799.0,35.0,119.0,0.9981423621611766,0.9975239167135622,0.9999121000531933
13,EUW1_7708834871,200,red,16.2,16.2.741.3171,Yuumi,Tristana,Milio,Lucian,0.13051137584992503,0.7771988451075833,-0.6466874692576583,0.6466874692576583,very_low,very_high,,Warwick,Ekko,Naafiri,Vladimir,Khazix,Ambessa,Yuumi,1769800596140,EUW1,420,1407.0,6,19,6,4,8008,8000,8400,7,245,4,11,8128,8100,8300,8,950,4,14,9923,8100,8000,9,18,4,21,8008,8000,8300,10,350,3,7,8214,8200,8400,1,8,14,4,8214,8200,8300,2,121,4,11,8369,8300,8100,3,799,4,14,8010,8000,8400,4,236,4,21,8005,8000,8300,5,902,4,7,8214,8200,8400,110.0,523.0,157.0,110.0,51.0,157.0,42.0,15.0,126.0,24.0,0.7771988451075833,0.714566845805573,0.9768675523584429
14,EUW1_7705296763,200,red,16.2,16.2.741.3171,Braum,Vayne,Karma,Varus,0.3453058627302333,0.9915179091201616,-0.6462120463899284,0.6462120463899284,low_mid,very_high,,Irelia,DrMundo,Sylas,Aatrox,JarvanIV,Orianna,Braum,1769598528378,EUW1,420,1900.0,6,39,4,14,8010,8000,8300,7,36,4,11,8021,8000,8300,8,517,4,12,8010,8000,8400,9,67,4,21,8008,8000,8400,10,201,4,14,8465,8400,8300,1,266,14,4,8010,8000,8400,2,59,4,11,8010,8000,8300,3,61,4,12,8230,8200,8300,4,110,21,4,8005,8000,8400,5,43,4,7,8214,8200,8400,421.0,126.0,86.0,166.0,7.0,523.0,54.0,107.0,234.0,131.0,0.9915179091201616,0.9887065637065637,0.9995986433299506
15,EUW1_7831144335,200,red,16.8,16.8.766.8562,Taric,Lucian,Yuumi,Zeri,0.2692621684144822,0.9127383717638704,-0.6434762033493882,0.6434762033493882,low_mid,very_high,,Malphite,Khazix,Viktor,Jax,Diana,Qiyana,Taric,1777038349015,EUW1,420,962.0,6,54,4,14,8229,8200,8400,7,121,4,11,8128,8100,8300,8,112,6,4,8214,8200,8400,9,236,4,21,8005,8000,8300,10,44,4,14,8351,8300,8200,1,24,14,4,8437,8400,8300,2,131,11,4,8010,8000,8100,3,246,4,14,8112,8100,8000,4,221,4,21,8008,8000,8400,5,350,3,7,8214,8200,8300,799.0,7.0,64.0,15.0,,555.0,51.0,154.0,67.0,799.0,0.9127383717638704,0.885377358490566,0.996943984839035
16,EUW1_7719808217,100,blue,16.3,16.3.744.1639,Senna,Veigar,Blitzcrank,Xerath,0.35795485328220755,1.0,-0.6420451467177924,0.6420451467177924,low_mid,very_high,,Zaahen,Kayn,Ambessa,Urgot,Khazix,Kassadin,Senna,1770414943955,EUW1,420,1858.0,1,904,4,3,8010,8000,8400,2,141,6,11,8369,8300,8100,3,799,14,4,8437,8400,8100,4,45,12,4,8369,8300,8200,5,235,4,7,8021,8000,8200,6,6,4,14,8005,8000,8400,7,121,11,4,8369,8300,8100,8,38,12,4,8369,8300,8400,9,101,4,12,8229,8200,8000,10,53,4,14,8351,8300,8200,412.0,69.0,555.0,107.0,12.0,950.0,107.0,238.0,166.0,150.0,1.0,1.0,1.0
17,EUW1_7765827606,200,red,16.5,16.5.751.1533,Ivern,Lucian,Senna,Jhin,0.36162374269431097,1.0,-0.638376257305689,0.638376257305689,low_mid,very_high,,Akali,DrMundo,Akshan,Aatrox,FiddleSticks,Kennen,Ivern,1772824208686,EUW1,420,1700.0,6,84,4,14,8112,8100,8400,7,36,4,11,8021,8000,8300,8,166,4,14,8005,8000,8300,9,236,4,21,8005,8000,8300,10,427,7,4,8351,8300,8400,1,266,14,4,8010,8000,8400,2,9,11,4,8112,8100,8200,3,85,4,14,8112,8100,8000,4,202,21,4,8128,8100,8000,5,235,4,7,8214,8200,8400,107.0,134.0,91.0,54.0,92.0,40.0,246.0,51.0,134.0,91.0,1.0,1.0,1.0
18,EUW1_7804333236,200,red,16.6,16.6.756.9613,Braum,Varus,Nautilus,Aphelios,0.3595156948080167,0.9962160990675013,-0.6367004042594846,0.6367004042594846,low_mid,very_high,,Kennen,Qiyana,Ahri,Pantheon,Karthus,Ekko,Braum,1774881270333,EUW1,420,934.0,6,85,12,4,8112,8100,8400,7,246,11,4,8369,8300,8100,8,103,4,14,8112,8100,8200,9,110,21,4,8229,8200,8300,10,201,7,4,8439,8400,8300,1,80,14,4,8005,8000,8200,2,30,11,4,8128,8100,8000,3,245,4,12,9923,8100,8200,4,523,6,4,8005,8000,8300,5,111,4,3,8439,8400,8300,56.0,68.0,800.0,119.0,104.0,18.0,55.0,9.0,36.0,84.0,0.9962160990675013,0.9949579831932773,0.999820952887728
19,EUW1_7803978812,100,blue,16.6,16.6.756.9613,Yuumi,Corki,Sona,Zed,0.21883766918329767,0.8554299529687013,-0.6365922837854037,0.6365922837854037,very_low,very_high,,Irelia,Gwen,Akali,Vayne,Nunu,Orianna,Yuumi,1774828883347,EUW1,420,1294.0,1,39,3,4,8010,8000,8300,2,887,6,11,8010,8000,8300,3,84,4,14,8112,8100,8200,4,42,4,21,8010,8000,8300,5,350,3,7,8214,8200,8400,6,67,4,3,8005,8000,8400,7,20,4,11,8230,8200,8100,8,61,4,12,8214,8200,8000,9,238,14,4,8010,8000,8200,10,37,4,7,8214,8200,8400,24.0,517.0,91.0,35.0,800.0,53.0,107.0,804.0,555.0,157.0,0.8554299529687013,0.8120434557682359,0.9918989092838797
20,EUW1_7831462570,200,red,16.8,16.8.766.8562,Zyra,Ashe,Thresh,Jinx,0.28872445246826645,0.9224911599947503,-0.6337667075264839,0.6337667075264839,low_mid,very_high,,DrMundo,Sejuani,Lissandra,Darius,Sylas,Vex,Zyra,1777055744628,EUW1,420,1375.0,6,36,4,12,8437,8400,8300,7,113,4,11,8439,8400,8000,8,127,4,12,8112,8100,8200,9,22,21,4,8008,8000,8300,10,143,14,4,8128,8100,8200,1,122,6,4,8010,8000,8200,2,517,4,11,8010,8000,8300,3,711,14,4,8112,8100,8200,4,222,4,1,8008,8000,8300,5,412,14,4,8351,8300,8400,51.0,91.0,800.0,117.0,107.0,59.0,555.0,119.0,887.0,800.0,0.9224911599947503,0.8980136763269294,0.9972988117045478
