side,n,mean,median,std,q25,q75
blue,14775,-0.4653938537491837,-0.5,0.19650984932229057,-0.6,-0.3333333333333333
red,14775,-0.4698548366467148,-0.5,0.18874895326027297,-0.6,-0.3333333333333333
