match_id,team_id,label_m06,label_m08,label_m10,label_m12,label_m14,label_path,n_observed_windows,n_label_changes,n_extreme_flips_ignore_ambiguous,is_fully_stable,has_any_change
EUW1_7712702763,100,ambiguous,map_presence,map_presence,map_presence,map_presence,ambiguous | map_presence | map_presence | map_presence | map_presence,5,1,0,False,True
EUW1_7712702763,200,ambiguous,ambiguous,map_presence,map_presence,ambiguous,ambiguous | ambiguous | map_presence | map_presence | ambiguous,5,2,0,False,True
EUW1_7712705706,100,map_presence,map_presence,map_presence,map_presence,ambiguous,map_presence | map_presence | map_presence | map_presence | ambiguous,5,1,0,False,True
EUW1_7712705706,200,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7712710134,100,farm_oriented,farm_oriented,ambiguous,ambiguous,ambiguous,farm_oriented | farm_oriented | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712710134,200,map_presence,map_presence,map_presence,map_presence,ambiguous,map_presence | map_presence | map_presence | map_presence | ambiguous,5,1,0,False,True
EUW1_7712718179,100,ambiguous,map_presence,ambiguous,map_presence,map_presence,ambiguous | map_presence | ambiguous | map_presence | map_presence,5,3,0,False,True
EUW1_7712718179,200,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7712719971,100,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous | ambiguous | ambiguous | ambiguous | ambiguous,5,0,0,True,False
EUW1_7712719971,200,farm_oriented,farm_oriented,farm_oriented,ambiguous,farm_oriented,farm_oriented | farm_oriented | farm_oriented | ambiguous | farm_oriented,5,2,0,False,True
EUW1_7712720690,100,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous | ambiguous | ambiguous | ambiguous | ambiguous,5,0,0,True,False
EUW1_7712720690,200,farm_oriented,farm_oriented,farm_oriented,ambiguous,ambiguous,farm_oriented | farm_oriented | farm_oriented | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712720978,100,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous | ambiguous | ambiguous | ambiguous | ambiguous,5,0,0,True,False
EUW1_7712720978,200,farm_oriented,farm_oriented,farm_oriented,farm_oriented,ambiguous,farm_oriented | farm_oriented | farm_oriented | farm_oriented | ambiguous,5,1,0,False,True
EUW1_7712736831,100,map_presence,ambiguous,map_presence,map_presence,map_presence,map_presence | ambiguous | map_presence | map_presence | map_presence,5,2,0,False,True
EUW1_7712736831,200,farm_oriented,ambiguous,farm_oriented,farm_oriented,ambiguous,farm_oriented | ambiguous | farm_oriented | farm_oriented | ambiguous,5,3,0,False,True
EUW1_7712748320,100,ambiguous,map_presence,map_presence,map_presence,ambiguous,ambiguous | map_presence | map_presence | map_presence | ambiguous,5,2,0,False,True
EUW1_7712748320,200,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7712749772,100,ambiguous,farm_oriented,farm_oriented,farm_oriented,farm_oriented,ambiguous | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,1,0,False,True
EUW1_7712749772,200,farm_oriented,farm_oriented,ambiguous,ambiguous,ambiguous,farm_oriented | farm_oriented | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712760871,100,ambiguous,ambiguous,map_presence,map_presence,map_presence,ambiguous | ambiguous | map_presence | map_presence | map_presence,5,1,0,False,True
EUW1_7712760871,200,farm_oriented,ambiguous,ambiguous,ambiguous,ambiguous,farm_oriented | ambiguous | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712767007,100,farm_oriented,farm_oriented,ambiguous,ambiguous,ambiguous,farm_oriented | farm_oriented | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712767007,200,farm_oriented,ambiguous,map_presence,ambiguous,ambiguous,farm_oriented | ambiguous | map_presence | ambiguous | ambiguous,5,3,0,False,True
EUW1_7712767389,100,map_presence,map_presence,ambiguous,ambiguous,ambiguous,map_presence | map_presence | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712767389,200,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,0,0,True,False
EUW1_7712781677,100,farm_oriented,farm_oriented,farm_oriented,ambiguous,ambiguous,farm_oriented | farm_oriented | farm_oriented | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712781677,200,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,0,0,True,False
EUW1_7712787659,100,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,0,0,True,False
EUW1_7712787659,200,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous | ambiguous | ambiguous | ambiguous | ambiguous,5,0,0,True,False
EUW1_7712798756,100,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7712798756,200,ambiguous,map_presence,map_presence,map_presence,ambiguous,ambiguous | map_presence | map_presence | map_presence | ambiguous,5,2,0,False,True
EUW1_7712799591,100,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,0,0,True,False
EUW1_7712799591,200,farm_oriented,farm_oriented,ambiguous,farm_oriented,farm_oriented,farm_oriented | farm_oriented | ambiguous | farm_oriented | farm_oriented,5,2,0,False,True
EUW1_7712801977,100,farm_oriented,farm_oriented,ambiguous,ambiguous,ambiguous,farm_oriented | farm_oriented | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712801977,200,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous | ambiguous | ambiguous | ambiguous | ambiguous,5,0,0,True,False
EUW1_7712806977,100,farm_oriented,ambiguous,ambiguous,ambiguous,ambiguous,farm_oriented | ambiguous | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712806977,200,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous | ambiguous | ambiguous | ambiguous | ambiguous,5,0,0,True,False
EUW1_7712808758,100,map_presence,ambiguous,ambiguous,ambiguous,ambiguous,map_presence | ambiguous | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712808758,200,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous | ambiguous | ambiguous | ambiguous | ambiguous,5,0,0,True,False
EUW1_7712808998,100,map_presence,ambiguous,map_presence,ambiguous,map_presence,map_presence | ambiguous | map_presence | ambiguous | map_presence,5,4,0,False,True
EUW1_7712808998,200,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7712819693,100,farm_oriented,farm_oriented,ambiguous,ambiguous,farm_oriented,farm_oriented | farm_oriented | ambiguous | ambiguous | farm_oriented,5,2,0,False,True
EUW1_7712819693,200,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,0,0,True,False
EUW1_7712819992,100,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,0,0,True,False
EUW1_7712819992,200,farm_oriented,farm_oriented,farm_oriented,farm_oriented,ambiguous,farm_oriented | farm_oriented | farm_oriented | farm_oriented | ambiguous,5,1,0,False,True
EUW1_7712823818,100,farm_oriented,ambiguous,farm_oriented,farm_oriented,farm_oriented,farm_oriented | ambiguous | farm_oriented | farm_oriented | farm_oriented,5,2,0,False,True
EUW1_7712823818,200,farm_oriented,farm_oriented,ambiguous,ambiguous,ambiguous,farm_oriented | farm_oriented | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712828284,100,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous | ambiguous | ambiguous | ambiguous | ambiguous,5,0,0,True,False
EUW1_7712828284,200,ambiguous,farm_oriented,ambiguous,ambiguous,ambiguous,ambiguous | farm_oriented | ambiguous | ambiguous | ambiguous,5,2,0,False,True
EUW1_7712830594,100,ambiguous,ambiguous,ambiguous,ambiguous,map_presence,ambiguous | ambiguous | ambiguous | ambiguous | map_presence,5,1,0,False,True
EUW1_7712830594,200,map_presence,map_presence,map_presence,ambiguous,ambiguous,map_presence | map_presence | map_presence | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712831705,100,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7712831705,200,map_presence,map_presence,map_presence,map_presence,ambiguous,map_presence | map_presence | map_presence | map_presence | ambiguous,5,1,0,False,True
EUW1_7712836116,100,map_presence,ambiguous,ambiguous,ambiguous,map_presence,map_presence | ambiguous | ambiguous | ambiguous | map_presence,5,2,0,False,True
EUW1_7712836116,200,farm_oriented,ambiguous,ambiguous,ambiguous,ambiguous,farm_oriented | ambiguous | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712837514,100,map_presence,map_presence,ambiguous,map_presence,map_presence,map_presence | map_presence | ambiguous | map_presence | map_presence,5,2,0,False,True
EUW1_7712837514,200,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous | ambiguous | ambiguous | ambiguous | ambiguous,5,0,0,True,False
EUW1_7712843416,100,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,0,0,True,False
EUW1_7712843416,200,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,0,0,True,False
EUW1_7712847683,100,farm_oriented,farm_oriented,ambiguous,ambiguous,ambiguous,farm_oriented | farm_oriented | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712847683,200,farm_oriented,farm_oriented,farm_oriented,farm_oriented,ambiguous,farm_oriented | farm_oriented | farm_oriented | farm_oriented | ambiguous,5,1,0,False,True
