side,n,mean,median,std,q25,q75
blue,14775,0.4384861004759482,0.4444444444444444,0.1349814954850431,0.3333333333333333,0.5384615384615384
red,14775,0.4300115468288057,0.4166666666666667,0.1344175182068079,0.3333333333333333,0.5384615384615384
