task,max_minute,label,n
jungle,10.0,farm_oriented,13457
jungle,10.0,map_presence,13324
support,10.0,lane_anchored,14987
support,10.0,roamer,14427
team,10.0,botside_oriented,12871
team,10.0,topside_oriented,11901
