side,n,mean,median,std,q25,q75
blue,67286,-0.4047591072351943,-0.2857142857142857,0.25945267657753557,-0.6470588235294118,-0.2
red,79724,-0.43752877973729093,-0.3333333333333333,0.23849399526776732,-0.6470588235294118,-0.25
